id,word,sum_log_prob,sum_original_metrics_nae,sum_projected_metrics_nae
1.178,the,-1.510538458824157,3.880480527877808,5.203000545501709
1.179,local,-6.648598670959473,3.003096580505371,4.992016792297363
1.180,folk,-8.677281379699707,5.437054395675659,8.617921829223633
1.181,the,-8.037082672119139,3.904872894287109,4.685068130493164
1.182,boar,-13.976811885833740,7.441759824752808,12.103281021118164
1.183,"was ,",-8.257215976715088,9.521957397460938,11.791051864624023
1.184,bringing,-10.939967036247252,9.419624805450439,10.955701828002930
1.185,terror,-10.117881774902344,5.021295547485352,6.224535465240479
1.186,to,-0.625775277614594,4.485318183898926,4.607045650482178
1.187,the,-0.697291731834412,3.971932172775269,4.250681877136231
1.188,peaceful,-9.693498611450195,4.788674831390381,5.342417716979980
1.189,flocks,-11.854452610015869,9.278979301452637,10.361600399017334
1.190,and,-2.831891298294067,5.328745841979980,5.819001674652100
1.191,ravaging,-10.370293185114859,11.031968593597412,13.540505409240724
1.192,the,-0.548672795295715,4.744462013244629,5.282989025115967
1.193,countryside,-4.523547768592834,9.022003650665283,9.930384159088137
1.194,around .,-11.013574123382568,13.682488918304443,16.558537960052490
1.195,Even,-5.632818222045898,0.000000000000000,0.000000000000000
1.196,"worse ,",-6.088222175836563,5.725416183471680,10.674136161804199
1.197,"however ,",-4.929776426404714,11.693874835968018,16.255502223968506
1.198,the,-1.189736723899841,3.834607839584351,4.971619606018066
1.199,boar,-14.765059709548950,8.220620393753054,13.678996801376345
1.200,most,-8.836754798889160,4.977016448974608,6.729323387145996
1.201,liked,-11.240998029708862,7.165015697479247,11.140635967254640
1.202,to,-2.024994134902954,4.883589267730713,6.136026382446289
1.203,go,-3.848646163940430,4.457800865173340,6.226519107818604
1.204,to,-2.063272237777710,3.997565746307373,5.673378944396973
1.205,the,-1.437488913536072,3.675596237182617,4.825845718383789
1.206,well,-8.950373649597168,3.843753337860107,5.854578018188477
1.207,that,-5.632041931152344,4.809411525726318,5.705124855041504
1.208,was,-2.858125209808350,5.098695755004883,6.323481559753418
1.209,in,-3.849359035491944,3.308723449707031,5.068988323211670
1.210,the,-0.958501458168030,3.621702909469605,5.029890060424805
1.211,wood,-8.284876585006714,7.263179302215576,9.970382213592529
1.212,and,-3.671123981475830,5.027058601379395,5.507459163665772
1.213,drink,-9.209243774414062,7.729731798171997,10.051731586456301
1.214,its,-7.673782348632812,5.707807540893555,6.553930282592773
1.215,fresh,-8.064157485961914,3.747473001480103,5.762932777404785
1.216,"water ,",-6.100633263587952,13.340324401855469,15.518762111663817
1.217,so,-3.506769180297852,4.458206176757812,5.324757575988770
1.218,that,-2.141170024871826,5.167099475860597,5.431214809417725
1.219,the,-1.553295612335205,5.639276504516602,6.033705234527588
1.220,people,-5.965124607086183,4.849435329437256,5.505738735198975
1.221,of,-2.015655994415283,5.271795749664307,5.927439689636231
1.222,Bradford,-10.281251907348633,3.456333637237549,4.536611080169678
1.223,had,-3.139146327972412,5.391622543334961,5.434728622436523
1.224,second,-7.684134483337402,3.851126909255981,6.175926208496094
1.225,thoughts,-0.096029404550791,9.289005756378174,11.556039333343506
1.226,about,-0.969972491264343,5.450202465057373,5.425283908843994
1.227,visiting,-10.867979049682617,5.331909179687500,5.508879184722900
1.228,the,-1.039472818374634,5.492947578430176,5.856970310211183
1.229,well .,-7.524594441056252,13.273616790771484,16.608184337615967
1.230,That,-4.601949214935303,0.000000000000000,0.000000000000000
1.231,the,-5.578504562377930,2.533105850219727,3.265126705169678
1.232,people,-5.561978340148926,2.830504894256592,5.258588790893555
1.233,of,-1.342248678207398,4.108635425567627,5.191398143768311
1.234,Bradford,-11.161626815795898,3.101939201354980,4.878105640411377
1.235,bore,-11.091350555419922,4.402606487274170,5.744676113128662
1.236,the,-0.961254358291626,4.518218040466309,5.769747257232666
1.237,brunt,-0.460748579818755,6.559868812561035,9.252288579940798
1.238,of,-0.037179540842772,5.274183273315430,6.003307342529298
1.239,the,-0.770305275917053,5.308243751525879,6.185825347900392
1.240,beast 's,-11.254972198832549,17.204766988754272,23.178454399108887
1.241,ferocity,-13.119813005032485,5.496996760368347,8.137144088745117
1.242,was,-2.128719329833984,4.929858207702637,6.008399963378906
1.243,unfair,-9.158449172973633,4.795885086059570,6.356318473815918
1.244,in,-4.199859142303467,4.409988880157472,5.073471546173097
1.245,the,-1.653949618339539,4.022996902465819,4.824783802032472
1.246,eyes,-4.368962287902832,4.982296943664551,6.226668834686278
1.247,of,-0.012200371362269,4.818253040313722,4.782730579376222
1.248,the,-1.494064807891846,4.754199981689453,5.126558780670166
1.249,people,-3.497604131698608,5.278672695159912,6.071620941162108
1.250,of,-2.336738109588623,4.328138351440431,4.513133049011231
1.251,the,-1.974158644676208,4.303687095642090,4.989989280700684
1.252,region .,-4.404245782643557,12.996679306030272,16.622881889343262
1.253,"Eventually ,",-8.792793765664101,4.787598133087158,9.431769371032715
1.254,the,-1.501763105392456,3.575984954833984,5.136164665222168
1.255,issue,-6.791670799255371,2.765644788742065,3.519485473632812
1.256,reached,-6.383749308239202,7.455010890960692,10.867956161499023
1.257,the,-1.985328316688538,3.642408847808838,5.568457126617432
1.258,ears,-12.351640224456787,7.212533712387085,10.302914619445801
1.259,of,-0.096871919929981,4.681705474853517,6.073694229125977
1.260,the,-1.149230480194092,3.999945402145386,5.403953552246094
1.261,kindly,-16.773252487182614,9.346136093139648,12.537101268768311
1.262,Lord,-9.007115364074707,3.052751541137696,5.344436645507812
1.263,of,-4.403903484344482,3.044521570205688,5.129112243652344
1.264,the,-0.526380598545074,2.885281324386597,4.699257373809815
1.265,Manor,-13.428005218505859,4.008078098297118,5.075874805450440
1.266,who,-6.774936199188232,5.778925418853760,6.390536785125732
1.267,the,-7.367786407470702,4.579464912414551,4.348612785339356
1.268,people,-5.264067649841309,5.836649417877197,6.320788383483888
1.269,had,-3.378255844116211,5.193974971771240,5.353789329528809
1.270,often,-6.753316879272461,5.501149654388428,5.989493846893311
1.271,asked,-5.514550731517375,9.976767539978027,10.423727512359619
1.272,for,-0.748631000518799,5.522994995117188,5.658978939056396
1.273,help .,-5.366580761969090,13.660854339599609,16.557512283325195
1.274,The,-1.715715885162354,0.000000000000000,0.000000000000000
1.275,Lord,-11.333679199218750,3.348619222640991,6.176370620727539
1.276,saw,-10.105613708496094,3.993036508560181,2.943808555603028
1.277,the,-1.481902599334717,4.638701915740967,4.015899181365967
1.278,severity,-11.603475570678713,4.225561141967773,6.474515914916992
1.279,of,-0.093413412570953,4.017194271087647,3.744198560714722
1.280,the,-0.510103940963745,4.186096191406250,3.097811222076416
1.281,problem,-3.660043478012085,5.189377307891847,6.150403499603272
1.282,the,-5.804506778717041,4.624458312988281,4.458117485046387
1.283,people,-6.865354537963867,4.618265151977539,5.755893230438232
1.284,faced,-6.200632095336914,4.786227226257324,5.763745784759521
1.285,and,-3.297783851623535,5.073044300079347,4.809897422790527
1.286,suggested,-6.620662167668343,8.956303119659424,8.215485095977781
1.287,a,-3.733615636825562,5.803698062896729,5.860906124114990
1.288,contest,-10.242924690246582,4.867167949676514,5.105935573577881
1.289,could,-4.854032993316650,4.733656883239746,5.616760253906250
1.290,solve,-7.903066635131836,5.299172401428223,4.907918930053711
1.291,the,-2.868598937988281,4.521340847015381,4.022705078125000
1.292,problem .,-1.592889364808798,12.755515575408936,15.121128082275391
1.293,He,-3.647783756256104,0.000000000000000,0.000000000000000
1.294,said,-1.716322779655456,2.338773012161255,4.339467048645020
1.295,that,-2.083960056304932,4.087425708770752,5.293737888336182
1.296,whoever,-9.515488088130953,10.325067043304443,12.239931106567385
1.297,could,-5.850254535675049,4.975788116455078,6.539413928985597
1.298,kill,-8.898146629333496,4.589441299438477,5.940299034118652
1.299,the,-1.204964756965637,4.730823040008545,5.391113758087158
1.300,boar,-15.025977849960327,9.581748723983763,13.376547336578369
1.301,and,-4.201222419738770,5.302932739257812,5.641531944274902
1.302,bring,-7.179036617279053,6.045277595520020,6.068850517272949
1.303,as,-7.171817302703857,5.114299297332764,6.045112609863281
1.304,proof,-8.974376678466797,9.058385610580443,9.698208808898926
1.305,its,-6.124280452728272,5.989734649658202,6.509818553924561
1.306,head,-7.792620182037354,4.597306251525879,5.501997947692871
1.307,to,-4.811730861663818,5.692001819610597,6.405543804168701
1.308,the,-0.993513226509094,5.051482677459717,5.741011142730713
1.309,Manor,-13.723537445068359,2.397235393524170,4.746619224548340
1.310,House,-6.079833030700684,4.523512363433838,4.882659912109375
1.311,would,-3.286425828933716,5.946255207061768,5.828373908996582
1.312,be,-1.468874096870422,4.599335670471191,4.873314380645752
1.313,rewarded,-7.246467322111130,10.136775493621826,11.933264255523682
1.314,with,-2.122348308563232,5.788196086883545,5.699130535125732
